Round:,0
Attended,8
Total covered,215
Unique covered,142

Round:,1
Attended,9
Total covered,221
Unique covered,135

Round:,2
Attended,9
Total covered,230
Unique covered,145

Round:,3
Attended,9
Total covered,233
Unique covered,142

Round:,4
Attended,9
Total covered,225
Unique covered,137

Round:,5
Attended,8
Total covered,205
Unique covered,125

Round:,6
Attended,10
Total covered,237
Unique covered,144

Round:,7
Attended,10
Total covered,255
Unique covered,151

Round:,8
Attended,10
Total covered,242
Unique covered,138

Round:,9
Attended,9
Total covered,220
Unique covered,148

Round:,10
Attended,9
Total covered,230
Unique covered,143

Round:,11
Attended,9
Total covered,225
Unique covered,140

Round:,12
Attended,10
Total covered,258
Unique covered,151

Round:,13
Attended,10
Total covered,238
Unique covered,145

Round:,14
Attended,7
Total covered,169
Unique covered,119

Round:,15
Attended,10
Total covered,267
Unique covered,158

Round:,16
Attended,10
Total covered,262
Unique covered,150

Round:,17
Attended,10
Total covered,241
Unique covered,139

Round:,18
Attended,8
Total covered,218
Unique covered,146

Round:,19
Attended,8
Total covered,206
Unique covered,131

Round:,20
Attended,8
Total covered,216
Unique covered,127

Round:,21
Attended,7
Total covered,184
Unique covered,127

Round:,22
Attended,9
Total covered,221
Unique covered,138

Round:,23
Attended,9
Total covered,214
Unique covered,145

Round:,24
Attended,9
Total covered,227
Unique covered,141

Round:,25
Attended,10
Total covered,249
Unique covered,153

Round:,26
Attended,9
Total covered,228
Unique covered,148

Round:,27
Attended,8
Total covered,194
Unique covered,130

Round:,28
Attended,8
Total covered,199
Unique covered,126

Round:,29
Attended,10
Total covered,252
Unique covered,146

Round:,30
Attended,10
Total covered,249
Unique covered,145

Round:,31
Attended,8
Total covered,202
Unique covered,140

Round:,32
Attended,9
Total covered,225
Unique covered,140

Round:,33
Attended,9
Total covered,232
Unique covered,142

Round:,34
Attended,9
Total covered,230
Unique covered,144

Round:,35
Attended,9
Total covered,215
Unique covered,138

Round:,36
Attended,10
Total covered,254
Unique covered,150

Round:,37
Attended,8
Total covered,202
Unique covered,129

Round:,38
Attended,9
Total covered,213
Unique covered,135

Round:,39
Attended,8
Total covered,206
Unique covered,130

Round:,40
Attended,9
Total covered,232
Unique covered,143

Round:,41
Attended,9
Total covered,230
Unique covered,142

Round:,42
Attended,10
Total covered,273
Unique covered,160

Round:,43
Attended,8
Total covered,220
Unique covered,137

Round:,44
Attended,9
Total covered,231
Unique covered,147

Round:,45
Attended,9
Total covered,232
Unique covered,140

Round:,46
Attended,8
Total covered,197
Unique covered,128

Round:,47
Attended,10
Total covered,264
Unique covered,150

Round:,48
Attended,8
Total covered,216
Unique covered,141

Round:,49
Attended,6
Total covered,157
Unique covered,116

Round:,50
Attended,8
Total covered,195
Unique covered,127

Round:,51
Attended,9
Total covered,225
Unique covered,140

Round:,52
Attended,9
Total covered,224
Unique covered,144

Round:,53
Attended,10
Total covered,234
Unique covered,143

Round:,54
Attended,9
Total covered,211
Unique covered,132

Round:,55
Attended,10
Total covered,244
Unique covered,147

Round:,56
Attended,8
Total covered,206
Unique covered,132

Round:,57
Attended,10
Total covered,234
Unique covered,144

Round:,58
Attended,10
Total covered,236
Unique covered,144

Round:,59
Attended,9
Total covered,222
Unique covered,137

Round:,60
Attended,9
Total covered,237
Unique covered,144

Round:,61
Attended,9
Total covered,214
Unique covered,134

Round:,62
Attended,10
Total covered,284
Unique covered,160

Round:,63
Attended,9
Total covered,231
Unique covered,143

Round:,64
Attended,10
Total covered,266
Unique covered,158

Round:,65
Attended,8
Total covered,198
Unique covered,135

Round:,66
Attended,10
Total covered,256
Unique covered,153

Round:,67
Attended,9
Total covered,238
Unique covered,152

Round:,68
Attended,10
Total covered,242
Unique covered,143

Round:,69
Attended,9
Total covered,219
Unique covered,136

Round:,70
Attended,8
Total covered,208
Unique covered,138

Round:,71
Attended,10
Total covered,247
Unique covered,141

Round:,72
Attended,10
Total covered,253
Unique covered,147

Round:,73
Attended,7
Total covered,174
Unique covered,119

Round:,74
Attended,8
Total covered,201
Unique covered,124

Round:,75
Attended,10
Total covered,247
Unique covered,148

Round:,76
Attended,8
Total covered,218
Unique covered,134

Round:,77
Attended,10
Total covered,262
Unique covered,153

Round:,78
Attended,9
Total covered,216
Unique covered,131

Round:,79
Attended,8
Total covered,194
Unique covered,124

Round:,80
Attended,9
Total covered,232
Unique covered,134

Round:,81
Attended,8
Total covered,198
Unique covered,138

Round:,82
Attended,9
Total covered,232
Unique covered,144

Round:,83
Attended,8
Total covered,209
Unique covered,129

Round:,84
Attended,8
Total covered,203
Unique covered,136

Round:,85
Attended,9
Total covered,229
Unique covered,140

Round:,86
Attended,10
Total covered,244
Unique covered,156

Round:,87
Attended,10
Total covered,244
Unique covered,152

Round:,88
Attended,9
Total covered,239
Unique covered,155

Round:,89
Attended,9
Total covered,220
Unique covered,139

Round:,90
Attended,8
Total covered,212
Unique covered,138

Round:,91
Attended,7
Total covered,176
Unique covered,128

Round:,92
Attended,9
Total covered,219
Unique covered,142

Round:,93
Attended,9
Total covered,226
Unique covered,142

Round:,94
Attended,9
Total covered,257
Unique covered,153

Round:,95
Attended,10
Total covered,252
Unique covered,152

Round:,96
Attended,9
Total covered,220
Unique covered,143

Round:,97
Attended,9
Total covered,232
Unique covered,146

Round:,98
Attended,10
Total covered,252
Unique covered,144

Round:,99
Attended,9
Total covered,225
Unique covered,141

