Round:,0
Attended,5
Total covered,354
Unique covered,96

Round:,1
Attended,5
Total covered,371
Unique covered,96

Round:,2
Attended,5
Total covered,356
Unique covered,97

Round:,3
Attended,5
Total covered,363
Unique covered,96

Round:,4
Attended,5
Total covered,361
Unique covered,98

Round:,5
Attended,5
Total covered,376
Unique covered,98

Round:,6
Attended,4
Total covered,286
Unique covered,99

Round:,7
Attended,5
Total covered,360
Unique covered,97

Round:,8
Attended,5
Total covered,384
Unique covered,100

Round:,9
Attended,5
Total covered,357
Unique covered,97

Round:,10
Attended,3
Total covered,210
Unique covered,88

Round:,11
Attended,3
Total covered,211
Unique covered,87

Round:,12
Attended,5
Total covered,363
Unique covered,97

Round:,13
Attended,4
Total covered,289
Unique covered,95

Round:,14
Attended,5
Total covered,376
Unique covered,99

Round:,15
Attended,5
Total covered,369
Unique covered,96

Round:,16
Attended,5
Total covered,371
Unique covered,98

Round:,17
Attended,4
Total covered,282
Unique covered,93

Round:,18
Attended,5
Total covered,363
Unique covered,99

Round:,19
Attended,5
Total covered,364
Unique covered,95

Round:,20
Attended,5
Total covered,360
Unique covered,99

Round:,21
Attended,4
Total covered,297
Unique covered,97

Round:,22
Attended,4
Total covered,287
Unique covered,97

Round:,23
Attended,4
Total covered,297
Unique covered,96

Round:,24
Attended,4
Total covered,301
Unique covered,96

Round:,25
Attended,5
Total covered,345
Unique covered,97

Round:,26
Attended,5
Total covered,373
Unique covered,98

Round:,27
Attended,5
Total covered,350
Unique covered,95

Round:,28
Attended,5
Total covered,363
Unique covered,98

Round:,29
Attended,5
Total covered,363
Unique covered,95

Round:,30
Attended,4
Total covered,291
Unique covered,95

Round:,31
Attended,5
Total covered,356
Unique covered,96

Round:,32
Attended,4
Total covered,274
Unique covered,92

Round:,33
Attended,5
Total covered,368
Unique covered,99

Round:,34
Attended,5
Total covered,372
Unique covered,100

Round:,35
Attended,5
Total covered,355
Unique covered,96

Round:,36
Attended,5
Total covered,375
Unique covered,99

Round:,37
Attended,5
Total covered,355
Unique covered,97

Round:,38
Attended,5
Total covered,369
Unique covered,98

Round:,39
Attended,4
Total covered,297
Unique covered,97

Round:,40
Attended,5
Total covered,363
Unique covered,97

Round:,41
Attended,5
Total covered,362
Unique covered,100

Round:,42
Attended,5
Total covered,357
Unique covered,97

Round:,43
Attended,5
Total covered,371
Unique covered,100

Round:,44
Attended,5
Total covered,359
Unique covered,96

Round:,45
Attended,5
Total covered,356
Unique covered,96

Round:,46
Attended,5
Total covered,354
Unique covered,97

Round:,47
Attended,4
Total covered,285
Unique covered,94

Round:,48
Attended,5
Total covered,369
Unique covered,98

Round:,49
Attended,5
Total covered,367
Unique covered,97

Round:,50
Attended,5
Total covered,355
Unique covered,97

Round:,51
Attended,5
Total covered,369
Unique covered,98

Round:,52
Attended,4
Total covered,284
Unique covered,97

Round:,53
Attended,4
Total covered,292
Unique covered,96

Round:,54
Attended,4
Total covered,283
Unique covered,90

Round:,55
Attended,5
Total covered,362
Unique covered,97

Round:,56
Attended,5
Total covered,375
Unique covered,98

Round:,57
Attended,5
Total covered,351
Unique covered,95

Round:,58
Attended,5
Total covered,349
Unique covered,96

Round:,59
Attended,5
Total covered,353
Unique covered,97

Round:,60
Attended,5
Total covered,374
Unique covered,100

Round:,61
Attended,5
Total covered,369
Unique covered,97

Round:,62
Attended,4
Total covered,292
Unique covered,94

Round:,63
Attended,5
Total covered,371
Unique covered,99

Round:,64
Attended,5
Total covered,363
Unique covered,96

Round:,65
Attended,4
Total covered,287
Unique covered,97

Round:,66
Attended,4
Total covered,289
Unique covered,96

Round:,67
Attended,4
Total covered,297
Unique covered,99

Round:,68
Attended,5
Total covered,369
Unique covered,99

Round:,69
Attended,4
Total covered,291
Unique covered,98

Round:,70
Attended,5
Total covered,380
Unique covered,98

Round:,71
Attended,5
Total covered,354
Unique covered,96

Round:,72
Attended,4
Total covered,286
Unique covered,96

Round:,73
Attended,4
Total covered,287
Unique covered,94

Round:,74
Attended,5
Total covered,368
Unique covered,97

Round:,75
Attended,5
Total covered,357
Unique covered,98

Round:,76
Attended,4
Total covered,297
Unique covered,94

Round:,77
Attended,5
Total covered,364
Unique covered,98

Round:,78
Attended,3
Total covered,204
Unique covered,91

Round:,79
Attended,5
Total covered,354
Unique covered,99

Round:,80
Attended,4
Total covered,292
Unique covered,93

Round:,81
Attended,5
Total covered,356
Unique covered,98

Round:,82
Attended,5
Total covered,355
Unique covered,98

Round:,83
Attended,5
Total covered,360
Unique covered,97

Round:,84
Attended,5
Total covered,380
Unique covered,99

Round:,85
Attended,4
Total covered,279
Unique covered,90

Round:,86
Attended,4
Total covered,279
Unique covered,93

Round:,87
Attended,5
Total covered,376
Unique covered,97

Round:,88
Attended,4
Total covered,288
Unique covered,97

Round:,89
Attended,5
Total covered,357
Unique covered,94

Round:,90
Attended,5
Total covered,369
Unique covered,99

Round:,91
Attended,5
Total covered,367
Unique covered,97

Round:,92
Attended,5
Total covered,354
Unique covered,91

Round:,93
Attended,5
Total covered,368
Unique covered,97

Round:,94
Attended,4
Total covered,285
Unique covered,95

Round:,95
Attended,5
Total covered,368
Unique covered,99

Round:,96
Attended,5
Total covered,361
Unique covered,96

Round:,97
Attended,5
Total covered,373
Unique covered,99

Round:,98
Attended,5
Total covered,362
Unique covered,97

Round:,99
Attended,5
Total covered,356
Unique covered,96

