Round:,0
Attended,8
Total covered,243
Unique covered,149

Round:,1
Attended,10
Total covered,304
Unique covered,164

Round:,2
Attended,10
Total covered,272
Unique covered,152

Round:,3
Attended,8
Total covered,234
Unique covered,141

Round:,4
Attended,10
Total covered,301
Unique covered,160

Round:,5
Attended,10
Total covered,291
Unique covered,162

Round:,6
Attended,8
Total covered,245
Unique covered,151

Round:,7
Attended,10
Total covered,274
Unique covered,146

Round:,8
Attended,9
Total covered,246
Unique covered,143

Round:,9
Attended,10
Total covered,251
Unique covered,148

Round:,10
Attended,10
Total covered,286
Unique covered,153

Round:,11
Attended,8
Total covered,202
Unique covered,134

Round:,12
Attended,9
Total covered,250
Unique covered,145

Round:,13
Attended,9
Total covered,251
Unique covered,138

Round:,14
Attended,9
Total covered,256
Unique covered,158

Round:,15
Attended,9
Total covered,248
Unique covered,146

Round:,16
Attended,10
Total covered,274
Unique covered,156

Round:,17
Attended,7
Total covered,193
Unique covered,124

Round:,18
Attended,10
Total covered,286
Unique covered,158

Round:,19
Attended,10
Total covered,272
Unique covered,154

Round:,20
Attended,8
Total covered,237
Unique covered,141

Round:,21
Attended,10
Total covered,283
Unique covered,159

Round:,22
Attended,10
Total covered,284
Unique covered,151

Round:,23
Attended,10
Total covered,284
Unique covered,156

Round:,24
Attended,9
Total covered,247
Unique covered,146

Round:,25
Attended,8
Total covered,230
Unique covered,140

Round:,26
Attended,10
Total covered,292
Unique covered,164

Round:,27
Attended,9
Total covered,255
Unique covered,149

Round:,28
Attended,10
Total covered,282
Unique covered,157

Round:,29
Attended,6
Total covered,167
Unique covered,118

Round:,30
Attended,10
Total covered,280
Unique covered,165

Round:,31
Attended,10
Total covered,288
Unique covered,156

Round:,32
Attended,9
Total covered,253
Unique covered,158

Round:,33
Attended,7
Total covered,194
Unique covered,133

Round:,34
Attended,9
Total covered,246
Unique covered,149

Round:,35
Attended,10
Total covered,271
Unique covered,150

Round:,36
Attended,9
Total covered,269
Unique covered,157

Round:,37
Attended,10
Total covered,285
Unique covered,162

Round:,38
Attended,9
Total covered,258
Unique covered,145

Round:,39
Attended,10
Total covered,283
Unique covered,144

Round:,40
Attended,9
Total covered,262
Unique covered,161

Round:,41
Attended,10
Total covered,285
Unique covered,160

Round:,42
Attended,10
Total covered,316
Unique covered,160

Round:,43
Attended,9
Total covered,241
Unique covered,145

Round:,44
Attended,8
Total covered,218
Unique covered,139

Round:,45
Attended,10
Total covered,273
Unique covered,151

Round:,46
Attended,9
Total covered,261
Unique covered,150

Round:,47
Attended,9
Total covered,252
Unique covered,152

Round:,48
Attended,8
Total covered,216
Unique covered,131

Round:,49
Attended,9
Total covered,257
Unique covered,152

Round:,50
Attended,8
Total covered,233
Unique covered,139

Round:,51
Attended,8
Total covered,231
Unique covered,145

Round:,52
Attended,10
Total covered,279
Unique covered,156

Round:,53
Attended,10
Total covered,274
Unique covered,153

Round:,54
Attended,9
Total covered,263
Unique covered,147

Round:,55
Attended,9
Total covered,265
Unique covered,156

Round:,56
Attended,9
Total covered,252
Unique covered,152

Round:,57
Attended,10
Total covered,295
Unique covered,164

Round:,58
Attended,9
Total covered,260
Unique covered,160

Round:,59
Attended,10
Total covered,270
Unique covered,151

Round:,60
Attended,10
Total covered,279
Unique covered,156

Round:,61
Attended,10
Total covered,256
Unique covered,147

Round:,62
Attended,10
Total covered,278
Unique covered,150

Round:,63
Attended,10
Total covered,282
Unique covered,155

Round:,64
Attended,9
Total covered,262
Unique covered,148

Round:,65
Attended,9
Total covered,240
Unique covered,150

Round:,66
Attended,8
Total covered,222
Unique covered,138

Round:,67
Attended,9
Total covered,250
Unique covered,146

Round:,68
Attended,9
Total covered,265
Unique covered,153

Round:,69
Attended,10
Total covered,276
Unique covered,151

Round:,70
Attended,9
Total covered,248
Unique covered,155

Round:,71
Attended,9
Total covered,256
Unique covered,148

Round:,72
Attended,9
Total covered,243
Unique covered,148

Round:,73
Attended,10
Total covered,271
Unique covered,151

Round:,74
Attended,9
Total covered,238
Unique covered,151

Round:,75
Attended,9
Total covered,261
Unique covered,161

Round:,76
Attended,8
Total covered,215
Unique covered,131

Round:,77
Attended,9
Total covered,254
Unique covered,146

Round:,78
Attended,10
Total covered,284
Unique covered,163

Round:,79
Attended,9
Total covered,250
Unique covered,160

Round:,80
Attended,9
Total covered,219
Unique covered,135

Round:,81
Attended,9
Total covered,268
Unique covered,151

Round:,82
Attended,10
Total covered,288
Unique covered,151

Round:,83
Attended,9
Total covered,251
Unique covered,150

Round:,84
Attended,9
Total covered,247
Unique covered,155

Round:,85
Attended,9
Total covered,244
Unique covered,153

Round:,86
Attended,10
Total covered,280
Unique covered,156

Round:,87
Attended,9
Total covered,259
Unique covered,149

Round:,88
Attended,10
Total covered,268
Unique covered,155

Round:,89
Attended,10
Total covered,274
Unique covered,151

Round:,90
Attended,8
Total covered,236
Unique covered,141

Round:,91
Attended,10
Total covered,294
Unique covered,166

Round:,92
Attended,10
Total covered,279
Unique covered,151

Round:,93
Attended,9
Total covered,260
Unique covered,153

Round:,94
Attended,10
Total covered,277
Unique covered,157

Round:,95
Attended,9
Total covered,269
Unique covered,146

Round:,96
Attended,9
Total covered,248
Unique covered,151

Round:,97
Attended,10
Total covered,295
Unique covered,166

Round:,98
Attended,10
Total covered,266
Unique covered,160

Round:,99
Attended,9
Total covered,253
Unique covered,159

